ZipCode,TotalPopulation,NoInsuranceRate,AsthmaRate,DiabetesRate
1001,"16,984",4.5,12.6,10.6
1002,"27,558",4.6,11.8,7.9
1003,"13,253",4.1,12.5,1.0
1005,"4,900",4.9,13.0,11.1
1007,"15,423",3.5,12.0,9.1
1008,"1,317",3.9,12.4,10.7
1009,980,4.9,13.6,9.9
1010,"3,711",3.4,12.4,10.1
1011,"1,201",3.9,12.6,10.3
1012,519,3.4,11.2,9.5
1013,"23,656",9.1,13.0,11.7
1020,"29,781",7.1,13.0,12.0
1022,"2,158",6.6,12.8,12.6
1026,"1,011",3.7,12.0,10.3
1027,"17,896",4.6,12.2,9.7
1028,"16,417",3.5,12.1,9.5
1029,714,3.6,11.9,11.6
1030,"11,708",4.0,12.6,10.1
1031,"1,406",4.1,12.9,10.7
1032,483,3.1,11.5,10.2
1033,"6,092",4.0,12.0,9.2
1034,"1,977",3.6,12.6,10.3
1035,"5,325",3.2,11.1,8.3
1036,"4,966",3.1,12.3,9.9
1037,706,4.0,12.3,11.8
1038,"2,522",3.4,12.1,10.2
1039,"1,511",3.3,11.9,9.7
1040,"38,238",14.8,12.7,15.0
1050,"2,467",4.6,12.4,10.8
1053,"2,031",3.3,11.3,10.6
1054,"1,889",3.4,11.2,9.8
1056,"21,002",5.6,12.8,11.0
1057,"8,152",4.4,13.0,11.2
1060,"14,461",4.4,12.1,8.9
1062,"10,910",3.9,12.1,10.3
1063,"2,106",3.4,15.5,1.0
1066,215,4.4,11.6,8.9
1068,"1,904",3.7,12.3,10.2
1069,"8,428",5.2,13.1,11.2
1070,577,3.6,11.9,11.2
1071,"1,486",3.8,12.6,9.2
1072,"1,366",3.2,11.7,9.4
1073,"6,224",3.4,11.9,9.1
1074,584,5.3,13.4,10.5
1075,"18,168",3.8,12.3,8.1
1077,"9,237",3.7,12.5,10.2
1079,701,5.2,13.6,10.3
1080,"2,400",5.2,12.9,9.6
1081,"1,684",4.1,12.9,10.4
1082,"10,565",6.2,12.9,11.6
1083,"2,549",4.3,12.8,10.6
1084,185,3.3,11.7,10.2
1085,"41,529",5.1,12.9,10.1
1088,598,3.9,11.7,9.7
1089,"28,835",6.4,12.7,11.2
1092,"1,343",4.2,12.9,10.1
1093,290,3.5,12.3,9.9
1094,60,4.0,11.9,13.3
1095,"14,694",3.2,12.1,9.5
1096,"2,509",3.2,11.9,9.6
1097,130,4.1,12.9,8.5
1098,"1,147",3.4,11.8,11.2
1103,"2,545",17.1,14.2,20.2
1104,"23,598",15.6,12.8,16.3
1105,"12,051",22.1,14.1,19.7
1106,"16,165",2.7,11.7,9.2
1107,"11,252",24.4,12.9,19.1
1108,"27,671",14.0,13.2,14.5
1109,"30,968",12.7,14.1,14.3
1118,"14,296",7.2,12.9,11.8
1119,"14,393",9.0,13.2,12.5
1128,"2,647",5.9,12.6,11.7
1129,"7,024",6.7,12.7,11.8
1151,"9,150",12.7,13.4,12.9
1201,"45,494",5.6,12.5,11.1
1220,"8,166",5.2,12.7,11.3
1222,835,4.0,12.2,9.8
1223,"2,430",3.6,11.9,11.1
1224,217,4.1,12.4,9.1
1225,"3,258",4.1,12.2,10.9
1226,"6,324",4.0,12.0,10.2
1229,189,4.1,11.6,11.5
1230,"8,907",4.1,11.6,10.6
1235,"2,733",4.2,12.3,11.1
1236,"1,513",3.3,11.5,9.4
1237,"2,365",3.8,12.0,10.6
1238,"5,722",3.9,11.5,10.5
1240,"4,692",3.8,11.4,11.4
1242,449,4.1,10.9,9.9
1243,175,3.5,11.9,11.5
1244,287,3.3,12.7,9.7
1245,933,3.9,11.6,10.3
1247,"15,147",5.8,13.0,11.5
1253,808,3.9,12.0,11.1
1254,946,3.7,11.6,11.8
1255,959,3.9,11.8,11.4
1256,645,4.7,12.5,11.6
1257,"2,140",3.9,11.7,10.7
1258,160,3.2,11.2,10.6
1259,643,3.5,11.4,11.5
1260,233,4.6,11.4,9.1
1262,"1,758",3.8,11.3,12.2
1264,219,3.4,11.4,12.2
1266,"1,208",3.0,11.1,10.1
1267,"7,876",3.6,11.7,8.1
1270,755,3.6,12.0,10.4
1301,"18,042",5.6,12.3,11.0
1330,"1,500",3.2,11.3,10.5
1331,"13,656",5.5,13.2,11.9
1337,"2,562",3.8,11.9,10.8
1338,127,3.8,12.8,11.7
1339,"1,487",4.1,12.0,11.1
1340,"1,803",4.3,12.0,10.5
1341,"1,539",2.8,11.6,10.3
1342,"1,538",4.9,11.2,8.8
1343,165,4.9,12.0,11.7
1344,"1,665",4.0,12.2,9.4
1346,352,4.1,12.2,10.6
1347,204,4.3,12.3,10.2
1349,827,4.3,12.0,9.2
1350,118,3.9,11.9,10.9
1351,"2,293",4.2,12.3,10.3
1354,"1,546",4.1,11.8,10.5
1355,879,2.9,11.5,10.1
1360,"2,871",3.8,11.9,9.8
1364,"7,665",6.3,13.1,12.9
1366,"1,187",3.4,12.3,12.0
1367,506,4.3,11.8,11.0
1368,"1,283",4.6,13.0,12.6
1370,"3,932",3.7,12.0,10.9
1373,"4,526",3.8,11.9,10.2
1375,"3,639",4.3,11.6,7.9
1376,"5,324",5.8,12.4,11.0
1378,780,3.9,11.7,10.8
1379,774,4.2,12.0,11.4
1380,82,4.5,10.9,10.5
1420,"41,940",8.8,12.7,11.6
1430,"6,303",3.6,12.5,10.0
1431,"3,193",3.6,12.2,8.9
1432,"8,221",4.4,12.3,9.4
1434,"1,652",6.6,10.2,10.1
1436,"3,208",5.0,13.2,11.1
1438,414,3.3,12.7,10.9
1440,"21,577",6.6,12.9,12.1
1450,"11,298",2.8,11.7,8.2
1451,"5,461",2.6,11.4,9.6
1452,"4,328",4.0,12.6,10.3
